11/30/2021, 23:09:58 57360.50
11/30/2021, 23:13:35,57411.00
11/30/2021, 23:13:35,57411.00
11/30/2021, 23:13:36,57411.00
11/30/2021, 23:13:37,57411.00
11/30/2021, 23:13:38,57411.00
11/30/2021, 23:13:39,57411.00
11/30/2021, 23:13:39,57411.00
11/30/2021, 23:13:40,57411.00
11/30/2021, 23:13:41,57410.50
11/30/2021, 23:13:42,57410.50
11/30/2021, 23:13:43,57410.50
11/30/2021, 23:13:44,57410.50
11/30/2021, 23:13:44,57410.50
11/30/2021, 23:17:43,57300.00
11/30/2021, 23:18:38,57262.00
11/30/2021, 23:20:17,57302.00
11/30/2021, 23:20:18,57302.00
11/30/2021, 23:20:18,57302.00
11/30/2021, 23:20:19,57302.00
11/30/2021, 23:20:20,57302.00
11/30/2021, 23:20:21,57302.00
11/30/2021, 23:20:22,57302.00
11/30/2021, 23:23:50,57260.50
11/30/2021, 23:24:21,57260.00
11/30/2021, 23:25:05,57270.50
11/30/2021, 23:25:24,57270.50
11/30/2021, 23:26:38,57258.00
11/30/2021, 23:26:40,57258.00
11/30/2021, 23:26:42,57258.00
11/30/2021, 23:26:44,57258.00
11/30/2021, 23:26:46,57258.00
11/30/2021, 23:26:47,57258.00
11/30/2021, 23:26:49,57258.00
11/30/2021, 23:26:51,57258.00
11/30/2021, 23:26:53,57258.00
11/30/2021, 23:26:54,57258.00
11/30/2021, 23:26:56,57258.00
11/30/2021, 23:26:58,57258.00
11/30/2021, 23:27:00,57258.00
11/30/2021, 23:27:01,57258.00
11/30/2021, 23:27:03,57258.00
11/30/2021, 23:27:05,57258.00
11/30/2021, 23:27:07,57258.00
11/30/2021, 23:27:08,57258.00
11/30/2021, 23:27:10,57258.00
11/30/2021, 23:27:12,57260.00
11/30/2021, 23:27:14,57254.00
11/30/2021, 23:27:15,57254.00
11/30/2021, 23:27:17,57254.00
11/30/2021, 23:27:19,57254.00
11/30/2021, 23:27:21,57246.00
11/30/2021, 23:27:22,57246.00
11/30/2021, 23:27:24,57246.00
11/30/2021, 23:27:26,57246.00
11/30/2021, 23:27:28,57246.00
11/30/2021, 23:27:30,57246.00
11/30/2021, 23:27:31,57246.00
11/30/2021, 23:27:33,57230.50
